"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-09-06",-2,685.412,"hold",673.532,630.5944,"hold",3,"1",685.96,699.4,699.89,684.73,3043500,"hold","hold",647.029515890015,673.532,700.034484109985,0.988029723792083,71.7434642975144,72.8148743915985,"sell"
"2012-09-07",2.5,723.80375,"hold",676.722,633.3314,"hold",1,"-1",700,706.15,712.25,697.67,3233000,"hold","hold",650.645178414538,676.722,702.798821585462,1.06425588340119,72.8473704846657,74.9409165014101,"sell"
"2012-09-10",-0.5,697.26615,"hold",679.6605,636.0606,"hold",-1,"-1",709.76,700.77,712.81,698.39,2560000,"hold","hold",656.857006868464,679.6605,702.463993131536,0.962856718447377,65.1835665730169,70.2267361940102,"sell"
"2012-09-11",-5.5,654.11955,"hold",681.2695,638.303,"hold",-1,"0",697.96,692.19,700.65,691,1873800,"hold","hold",659.733181396302,681.2695,702.805818603698,0.753536832384264,65.7600441705736,63.379352235939,"hold"
"2012-09-12",-2,677.0624,"hold",682.3805,640.5112,"hold",0,"2",689.41,690.88,694.91,680.88,2642300,"hold","hold",661.272487800837,682.3805,703.488512199163,0.701333501227017,58.2055589672017,62.3792802845593,"hold"
"2012-09-13",-1,698.9796,"hold",684.3055,642.8754,"hold",2,"1",693.09,706.04,709,690.54,2659000,"hold","hold",661.975431056981,684.3055,706.63556894302,0.986664417728864,59.4399972511266,68.5616596521447,"hold"
"2012-09-14",-0.5,706.1316,"hold",686.146,645.1506,"hold",1,"0",709.6,709.68,713,707.01,2618500,"hold","hold",661.903451949104,686.146,710.388548050896,0.985386271084038,60.9970719805707,69.8431105253534,"hold"
"2012-09-17",-0.5,706.4301,"hold",687.788,647.6306,"hold",0,"1",708.11,709.98,712.88,705,1508300,"hold","hold",661.820582261611,687.788,713.755417738389,0.927304713614099,62.8165814857854,69.9518194213093,"hold"
"2012-09-18",-0.5,714.6886,"hold",689.925,650.276,"hold",1,"1",707.78,718.28,718.66,706.78,2066800,"hold","hold",661.429571945661,689.925,718.420428054339,0.997535954643828,62.9659824819871,72.8661055737308,"sell"
"2012-09-19",-0.5,723.8625,"hold",692.8245,653.192,"hold",1,"0",717.5,727.5,728.56,716.41,3098300,"hold","hold",661.561379570331,692.8245,724.087620429669,1.05457515953994,63.285480936712,75.6870188662645,"sell"
"2012-09-20",-0.5,724.4794,"hold",695.3715,656.3306,"hold",0,"1",724.47,728.12,731.38,721.22,2907400,"hold","hold",661.43570398753,695.3715,729.30729601247,0.982506731063063,69.4867581675106,75.8686974862139,"sell"
"2012-09-21",-0.5,730.32005,"hold",698.231,659.6008,"hold",1,"2",732.21,733.99,734.92,730.12,6359100,"hold","hold",661.512763713381,698.231,734.949236286619,0.986937876330286,73.1010902798262,77.5770937225656,"sell"
"2012-09-24",-0.5,745.6331,"hold",701.7685,663.058,"hold",2,"0",731,749.38,750.04,730.25,3563800,"hold","hold",660.000360814731,701.7685,743.536639185269,1.06994997776669,78.9117745297416,81.3125459146795,"sell"
"2012-09-25",-0.5,745.4142,"hold",705.7655,666.5428,"hold",0,"1",753.05,749.16,764.89,747.66,6058500,"hold","buy",661.970713792051,705.7655,749.56028620795,0.99542997874166,81.1662556922411,81.1045450130695,"sell"
