"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-10-03",-1.5,642.237437104497,"hold",660.162461719188,633.837470080545,"hold",2,"-1",645.618422488638,652.01770264416,652.415836917872,643.452960463325,15604506.8465767,"hold","hold",631.242718355571,660.162461719188,689.082205082805,0.359183413686945,47.1192983744606,50.3883490566285,"hold"
"2012-10-04",-1,641.027254571293,"hold",659.702665186011,635.668656396743,"hold",-1,"-2",651.823490803325,647.50227734474,654.736668415853,646.28845333952,13634802.0213982,"hold","hold",630.289033180866,659.702665186011,689.116297191156,0.292606573728526,45.2132403176158,48.1976885477874,"hold"
"2012-10-05",-1,627.366490792861,"hold",658.350465244195,637.225608121102,"hold",-2,"-2",645.948582618058,633.703526053395,646.725429981399,632.431438495924,21846762.6986716,"hold","hold",626.841408295901,658.350465244195,689.85952219249,0.108891195454608,38.3129887301431,42.1648546741124,"hold"
"2012-10-08",-1,613.503843805882,"hold",657.157519011865,638.303710133102,"hold",-2,"0",628.158777997549,619.700852329173,628.819098256389,617.70047036857,23464583.7267238,"hold","hold",621.91360023538,657.157519011865,692.40143778835,-0.0313919107611101,31.8366358141428,37.0911897168352,"hold"
"2012-10-09",-1,611.27351502573,"hold",655.956318776299,639.14588740388,"hold",0,"1",620.166960747178,617.447994975484,621.953709682862,605.503966764116,30842506.6887716,"hold","hold",617.193908644322,655.956318776299,694.718728908276,0.00327748365359164,25.5904292450298,36.3336804034872,"hold"
"2012-10-10",-1,616.13793900313,"hold",654.554109285468,639.782146681122,"hold",1,"-2",621.22541527973,622.361554548616,626.313765509614,618.564713060287,18770225.2567201,"hold","hold",613.150974925144,654.554109285468,695.957243645792,0.111230463173563,31.313252097494,39.2479220824397,"hold"
"2012-10-11",-1,603.823063281687,"hold",651.889522829208,640.246006304223,"hold",-2,"0",627.789775499962,609.922286143118,628.469516942885,609.922286143118,20084151.3227237,"hold","hold",606.400836499494,651.889522829208,697.378209158923,0.0387068733761636,23.9986127751964,34.8933829908475,"hold"
"2012-10-12",-1,605.370834547224,"hold",648.900117069152,640.722182641373,"hold",0,"1",611.340032581216,611.485691461842,616.991597149522,607.203320371425,16918741.8535787,"hold","hold",601.100344865793,648.900117069152,696.699889272511,0.108633850302322,24.7111470286494,35.8566323136751,"hold"
"2012-10-15",-1,610.225645038503,"hold",645.743203596375,641.14347114865,"hold",1,"2",614.049287760868,616.389540442932,616.748832348478,605.795284525369,15906857.1036334,"hold","hold",598.112014057386,645.743203596375,693.374393135363,0.191865105222545,30.544666427073,38.9096972773155,"hold"
"2012-10-16",-1,624.674714678885,"hold",643.212623310291,641.72419368797,"hold",2,"-1",616.98188655748,630.984560281702,631.479800475832,612.73835783523,20219879.4013344,"hold","hold",598.161636657519,643.212623310291,688.263609963063,0.364286401507288,37.8259194210103,46.9959228295007,"hold"
"2012-10-17",-1,619.694928868028,"sell",640.421313627887,642.236029068651,"hold",-1,"-2",630.09118581386,625.954473604069,633.897737894231,625.362127489521,14308293.397812,"hold","hold",598.463052189024,640.421313627887,682.379575066749,0.327604391510627,35.9108897294461,44.7952233401994,"hold"
"2012-10-18",-4,589.757659132875,"hold",637.213905076492,642.53569793906,"sell",-2,"-4",621.079756399104,614.330894930079,623.478272633419,611.767298631053,17529621.1876593,"hold","hold",597.643596616845,637.213905076492,676.78421353614,0.210856308212137,36.3374892930916,40.1199209707973,"hold"
"2012-10-19",4,615.878374877854,"hold",632.832000417647,642.32420124439,"buy",-4,"4",612.786910795438,592.19074507486,613.486073422445,591.977112049941,27366508.5359471,"hold","hold",593.701252415153,632.832000417647,671.962748420141,-0.0193007726327822,35.6069765237322,33.0451671781974,"hold"
"2012-10-22",-4,591.053440534928,"hold",630.076134396195,642.56366444414,"sell",4,"-3",594.696077821634,615.680667223884,616.991597149522,593.084119542702,20108042.7599299,"hold","hold",594.419625062881,630.076134396195,665.732643729508,0.298136897841798,43.2628907461285,44.2731440167432,"hold"
"2012-10-23",-1,589.652784738824,"hold",627.154217250828,642.240495940991,"hold",-3,"1",612.73835783523,595.60887347356,615.554429527341,593.996915194627,26007889.0055147,"hold","hold",590.277230939342,627.154217250828,664.031203562315,0.0722895641360652,36.1993035555159,38.3544648689127,"hold"
"2012-10-24",-1,592.988664422931,"hold",624.806681624732,641.951897145509,"hold",1,"-1",603.455031843304,598.978448912052,608.417144376645,592.967592438201,20541898.901953,"hold","hold",587.042366407395,624.806681624732,662.570996842069,0.158033879814363,30.6030570038002,39.8092140752991,"hold"
"2012-10-25",-1,585.980433040471,"hold",621.321550140944,641.538420136371,"hold",-1,"-1",602.05670658929,591.899427313607,603.998824997643,588.024901088943,24138795.9654671,"hold","hold",584.943583105778,621.321550140944,657.699517176109,0.0956051804805994,30.5314216743338,37.7914834811392,"hold"
"2012-10-26",-1,580.654561729245,"hold",618.257858351767,640.91033904311,"hold",-1,"-1",591.792610801147,586.51975932247,596.230351364233,573.895989668179,37456624.5225531,"hold","hold",581.003452545158,618.257858351767,655.512264158377,0.0740356295836272,29.3429843584427,36.2863008700371,"hold"
"2012-10-31",-1,572.310055775918,"hold",615.147070191189,639.88509473534,"hold",-1,"0",577.663699380382,578.09096543022,584.53879854595,570.691494294397,18757249.7347892,"hold","hold",575.465486789508,615.147070191189,654.828653592869,0.0330818280880456,30.6658057332609,34.0013046917016,"hold"
"2012-11-01",-4,556.104631352942,"hold",612.002294958464,638.55260729537,"sell",0,"-3",580.907037122331,579.275657659315,585.548700118294,576.974247345417,13288067.2409111,"hold","hold",571.426921237412,612.002294958464,652.577668679516,0.09671798066312,29.1059668399596,34.6244408976941,"hold"
"2012-11-02",-1,554.505879479187,"hold",607.4067572747,637.01328424491,"hold",-3,"1",578.644469176601,560.106948968875,579.673791933027,558.116277600314,22044175.9966205,"hold","hold",565.213583622831,607.4067572747,649.599930926569,-0.0605149389340733,29.0890928197762,29.7327915014632,"buy"
"2012-11-05",-1,562.023625626079,"hold",603.416675004739,635.377049485873,"hold",1,"0",566.63246682094,567.700631945534,570.759468438689,560.883796332216,19460914.348709,"hold","hold",562.060103477034,603.416675004739,644.773246532445,0.0681938596472108,35.2019746565883,33.7271972533548,"hold"
"2012-11-06",-4,543.342582867976,"hold",600.030591559777,633.827627419689,"sell",0,"-4",573.148274080963,565.981857154142,573.643514275093,563.301733750615,13788963.5795773,"hold","hold",558.062529746607,600.030591559777,641.998653372946,0.094349453672529,34.4906880562446,33.2662465559127,"hold"
"2012-11-07",-4,522.552845984713,"hold",596.261843005022,631.833627336495,"sell",-4,"-4",559.777712701366,544.325881234076,560.460558788936,542.131018809745,29056650.3362689,"hold","hold",548.851680925305,596.261843005022,643.672005084738,-0.0477302701857362,26.7713419298817,28.0622178510816,"buy"
"2012-11-08",-1,519.326398220947,"hold",591.618049227002,629.20256406324,"hold",-4,"2",546.891431534517,524.572119415098,548.452222591819,522.172403164496,38667059.0644742,"hold","hold",535.944205526116,591.618049227002,647.291892927889,-0.102131318363033,20.4122118710903,24.3242760043834,"buy"
"2012-11-09",-1,528.317432655976,"hold",587.18267011856,626.770228491273,"hold",2,"-1",527.176689491971,533.653972379774,541.282338672338,520.640876939518,34045505.1631667,"hold","hold",527.989589964318,587.18267011856,646.375750272803,0.0478466604601097,28.8303786288437,29.0063613039559,"buy"
"2012-11-12",-1,524.232354711811,"hold",583.162937362506,624.281196266981,"hold",-1,"0",540.570227752443,529.527631022032,540.911650796228,525.45006438483,18884270.1667894,"hold","hold",519.912716717185,583.162937362506,646.413158007827,0.0760069625587788,35.0473544899696,28.15404859826,"buy"
"2012-11-13",-1,524.299956474481,"hold",579.068448570953,621.979973102067,"hold",0,"-1",525.703692931642,529.595915630789,536.990163264757,523.216182184067,19512054.3890374,"hold","hold",513.136813210436,579.068448570953,645.00008393147,0.124819461328035,28.9291455639572,28.1916516423727,"buy"
"2012-11-14",-1,518.486204884913,"hold",574.435143512691,619.534693387896,"hold",-1,"-2",532.132201098904,523.72343927769,534.034415199991,523.04059319012,17469910.4485732,"hold","hold",506.647595177533,574.435143512691,642.22269184785,0.12595118513307,29.9494795588959,26.8882840278198,"buy"
